,Unnamed: 0,trb,ast,stl,blk,tov,pts,trbp,astp,stlp,tovp,ptsp,blkp
0,1,432,465,130,58,273,1654,5.5,5.9,1.6,3.5,20.9,0.7
1,2,588,577,177,52,262,2175,7.4,7.2,2.2,3.3,27.2,0.6
2,3,556,521,123,66,260,2478,7.0,6.6,1.6,3.3,31.4,0.8
3,4,526,470,125,55,250,2132,6.7,6.0,1.6,3.2,27.3,0.7
4,5,592,539,138,81,255,2250,7.9,7.2,1.8,3.4,30.0,1.1
5,6,613,587,137,93,241,2304,7.6,7.2,1.7,3.0,28.4,1.1
6,7,554,651,125,77,261,2258,7.3,8.6,1.6,3.4,29.7,1.0
7,8,416,511,109,49,272,1743,6.0,7.4,1.6,3.9,25.3,0.7
8,9,565,514,104,49,249,1920,7.4,6.8,1.4,3.3,25.3,0.6
9,10,639,646,92,44,303,1954,8.6,8.7,1.2,4.1,26.4,0.6
10,11,614,648,108,69,302,1945,7.5,7.9,1.3,3.7,23.7,0.8
