,Unnamed: 0,season,trb,ast,stl,blk,tov,pts,trbp,astp,stlp,tovp,ptsp,blkp
0,0,1,534,481,196,69,291,2313,6.5,5.9,2.4,3.5,28.2,0.8
1,1,2,64,53,37,21,45,408,3.6,2.9,2.1,2.5,22.7,1.2
2,2,3,430,377,236,125,272,3041,5.2,4.6,2.9,3.3,37.1,1.5
3,3,4,449,485,259,131,252,2868,5.5,5.9,3.2,3.1,35.0,1.6
4,4,5,652,650,234,65,290,2633,8.0,8.0,2.9,3.6,32.5,0.8
5,5,6,565,519,227,54,247,2753,6.9,6.3,2.8,3.0,33.6,0.7
6,6,7,492,453,223,83,202,2580,6.0,5.5,2.7,2.5,31.5,1.0
7,7,8,511,489,182,75,200,2404,6.4,6.1,2.3,2.5,30.0,0.9
8,8,9,522,428,221,61,207,2541,6.7,5.5,2.8,2.7,32.6,0.8
9,9,10,117,90,30,13,35,457,6.9,5.3,1.8,2.1,26.9,0.8
10,10,11,543,352,180,42,197,2491,6.6,4.3,2.2,2.4,30.4,0.5
11,11,12,482,352,140,44,166,2431,5.9,4.3,1.7,2.0,29.6,0.5
12,12,13,475,283,141,45,185,2357,5.8,3.5,1.7,2.3,28.7,0.5
